committee_id,committee_name,report_year,report_type,image_number,filing_form,link_id,line_number,transaction_id,file_number,entity_type,entity_type_desc,unused_recipient_committee_id,recipient_committee_id,recipient_name,recipient_city,recipient_state,recipient_zip,beneficiary_committee_name,national_committee_nonfederal_account,disbursement_type,disbursement_type_description,disbursement_description,disbursement_purpose_category,memo_code,memo_code_full,memo_text,disbursement_date,disbursement_amount,candidate_office,candidate_office_description,candidate_office_district,candidate_id,candidate_name,candidate_first_name,candidate_last_name,candidate_middle_name,candidate_prefix,candidate_suffix,candidate_office_state,candidate_office_state_full,election_type,election_type_full,fec_election_type_desc,fec_election_year,two_year_transaction_period,amendment_indicator,amendment_indicator_desc,schedule_type,schedule_type_full,load_date,sub_id,original_sub_id,back_reference_transaction_id,back_reference_schedule_id,semi_annual_bundled_refund,pdf_url,line_number_label,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_employer,payee_occupation,category_code,category_code_full,conduit_committee_name,conduit_committee_street1,conduit_committee_street2,conduit_committee_city,conduit_committee_state,conduit_committee_zip,ref_disp_excess_flg,comm_dt,spender_committee_type,spender_committee_org_type,spender_committee_designation
C00540302,TIM SCOTT FOR AMERICA,2025,Q1,202504159755995375,F3,4041520251184156972,17,SB17.1052562.28,1887810,ORG,ORGANIZATION,,,CHEESECAKE FACTORY,WASHINGTON,DC,20005,,,,,MEETING EXPENSE: MEALS,TRAVEL,X,,,2025-01-22 00:00:00,71.39,,,,,,,,,,,,,P2028,,PRIMARY,2028,2026,A,ADD,SB,ITEMIZED DISBURSEMENTS,2025-04-18 03:36:47,4041720251185300521,,SB17.1052562,SB17,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202504159755995375,Operating Expenditures,,,,,,,,,,,,,,,,,,S,"",P
C00409730,NEW DEMOCRAT COALITION ACTION FUND,2025,M7,202507189763639006,F3X,4071820251209279306,21B,500446823,1904679,ORG,ORGANIZATION,,,WASHINGTON NATIONALS,WASHINGTON,DC,20003,,,,,PAC MEALS,TRAVEL,X,,*,2025-06-13 00:00:00,33.56,,,,,,,,,,,,,,,,,2026,A,ADD,SB,ITEMIZED DISBURSEMENTS,2025-07-25 03:35:58,4072420251211756997,,500446795,SB21B,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202507189763639006,Other Federal Operating Expenditures,,,,,,,,,,,,,,,,,,Q,,U
C00843003,JULIE JOHNSON FOR CONGRESS,2025,Q1,202504159755804189,F3,4041520251184156882,17,500160671,1887660,ORG,ORGANIZATION,,,THE FAITH AND POLITICS INSTITUTE,WASHINGTON,DC,200025620,,,,,"TRAVEL, MEALS, & EVENT MATERIALS",TRAVEL,X,,*,2025-03-27 00:00:00,2200.00,,,,,,,,,,,,,P2024,,PRIMARY,2024,2026,A,ADD,SB,ITEMIZED DISBURSEMENTS,2025-04-26 03:36:31,4042520251186690957,,500159725,SB17,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202504159755804189,Operating Expenditures,,,,,,,,,,,,,,,,,,H,"",P
C00796144,VAL HOYLE FOR CONGRESS,2025,Q3,202510149790799885,F3,4101520251292819053,17,500344614,1919571,ORG,ORGANIZATION,,,NATIONAL DEMOCRATIC CLUB,WASHINGTON,DC,200034006,,,,,CATERING/MEALS,TRAVEL,,,,2025-08-04 00:00:00,10.00,,,,,,,,,,,,,P2026,,PRIMARY,2026,2026,A,ADD,SB,ITEMIZED DISBURSEMENTS,2025-12-01 02:36:03,4113020251295049233,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202510149790799885,Operating Expenditures,,,,,,,,,,,,,,,,,,H,,P
C00477745,WOMACK FOR CONGRESS COMMITTEE,2025,Q1,202504059755051209,F3,4040520251183252007,17,BDB5511911A88431E97B,1884133,ORG,ORGANIZATION,,,CAPITOL HILL CLUB,WASHINGTON,DC,200031801,,,,,STAFF APPRECIATION DINNER,OTHER,X,,,2025-02-05 00:00:00,340.25,,,,,,,,,,,,,P2026,,PRIMARY,2026,2026,A,ADD,SB,ITEMIZED DISBURSEMENTS,2025-04-07 03:36:01,4040620251183275029,,BCF63A242DDCB41EA9BD,SB17,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202504059755051209,Operating Expenditures,,,,,,,,001,Administrative/Salary/Overhead Expenses ,,,,,,,,,H,,P
C00796144,VAL HOYLE FOR CONGRESS,2025,Q3,202510149790799886,F3,4101520251292819053,17,500344615,1919571,ORG,ORGANIZATION,,,NATIONAL DEMOCRATIC CLUB,WASHINGTON,DC,200034006,,,,,CATERING/MEALS,TRAVEL,,,,2025-08-04 00:00:00,311.56,,,,,,,,,,,,,P2026,,PRIMARY,2026,2026,A,ADD,SB,ITEMIZED DISBURSEMENTS,2025-12-01 02:36:03,4113020251295049234,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202510149790799886,Operating Expenditures,,,,,,,,,,,,,,,,,,H,,P
C00492645,FRIENDS OF CHRIS MURPHY,2025,Q1,202504159755567433,F3,4041520251184156624,17,500421505,1887262,ORG,ORGANIZATION,,,BUCK'S FISHING & CAMPING RESTAURANT,WASHINGTON,DC,200082024,,,,,CAMPAIGN MEETING MEALS,TRAVEL,X,,*,2025-02-11 00:00:00,404.30,,,,,,,,,,,,,C2030,CONVENTION,CONVENTION,2030,2026,A,ADD,SB,ITEMIZED DISBURSEMENTS,2025-04-17 03:37:18,4041620251184910598,,500420399,SB17,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202504159755567433,Operating Expenditures,,,,,,,,,,,,,,,,,,S,"",P
C00800649,HOUCHIN FOR CONGRESS,2025,Q1,202504159755370366,F3,4041520251184156237,17,B70356D6A46E94B1CA15,1886604,ORG,ORGANIZATION,,,CELLAR.COM,WASHINGTON,DC,200012640,,,,,MEALS EXPENSE,TRAVEL,,,,2025-03-03 00:00:00,44.09,,,,,,,,,,,,,P2026,,PRIMARY,2026,2026,A,ADD,SB,ITEMIZED DISBURSEMENTS,2025-04-25 03:36:35,4042420251186642508,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202504159755370366,Operating Expenditures,,,,,,,,002,Travel Expenses,,,,,,,,,H,"",P
C00430991,FRIENDS FOR GREGORY MEEKS,2025,Q2,202507159763464221,F3,4071520251208391071,17,500452957,1903123,ORG,ORGANIZATION,,,TRATTORIA ALBERTO,WASHINGTON,DC,200032834,,,,,MEALS,TRAVEL,X,,*,2025-04-23 00:00:00,44.49,,,,,,,,,,,,,P2026,,PRIMARY,2026,2026,A,ADD,SB,ITEMIZED DISBURSEMENTS,2025-08-13 03:35:56,4081220251216005326,,500447777,SB17,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202507159763464221,Operating Expenditures,,,,,,,,,,,,,,,,,,H,,P
C00410233,COURTNEY FOR CONGRESS,2025,Q1,202504159755378604,F3,4041520251184156270,17,500989174,1886658,ORG,ORGANIZATION,,,NATIONAL DEMOCRATIC CLUB,WASHINGTON,DC,200034006,,,,,MEALS,TRAVEL,X,,*,2025-02-04 00:00:00,120.26,,,,,,,,,,,,,C2026,CONVENTION,CONVENTION,2026,2026,A,ADD,SB,ITEMIZED DISBURSEMENTS,2025-04-24 03:37:09,4042320251186374525,,500989168,SB17,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202504159755378604,Operating Expenditures,,,,,,,,,,,,,,,,,,H,,P
